Sample	Mouse_Model	Condition	Sex	Genotype	Drug	Batch	Group
ADNP_HfF_1	Adnp	HfF	Female	Mutant	Fluoxetine	B1	Group2
ADNP_HfF_2	Adnp	HfF	Female	Mutant	Fluoxetine	B1	Group2
ADNP_HfF_3	Adnp	HfF	Female	Mutant	Fluoxetine	B1	Group2
ADNP_HfF_4	Adnp	HfF	Female	Mutant	Fluoxetine	B1	Group2
ADNP_HfF_5	Adnp	HfF	Female	Mutant	Fluoxetine	B1	Group2
ADNP_HfM_1	Adnp	HfM	Male	Mutant	Fluoxetine	B1	Group2
ADNP_HfM_2	Adnp	HfM	Male	Mutant	Fluoxetine	B1	Group2
ADNP_HfM_3	Adnp	HfM	Male	Mutant	Fluoxetine	B1	Group2
ADNP_HfM_4	Adnp	HfM	Male	Mutant	Fluoxetine	B1	Group2
ADNP_HfM_5	Adnp	HfM	Male	Mutant	Fluoxetine	B1	Group2
ADNP_HLF_1	Adnp	HLF	Female	Mutant	Lithium	B5	Group2
ADNP_HLF_2	Adnp	HLF	Female	Mutant	Lithium	B5	Group2
ADNP_HLF_3	Adnp	HLF	Female	Mutant	Lithium	B5	Group2
ADNP_HLF_5	Adnp	HLF	Female	Mutant	Lithium	B5	Group2
ADNP_HLM_1	Adnp	HLM	Male	Mutant	Lithium	B5	Group2
ADNP_HLM_2	Adnp	HLM	Male	Mutant	Lithium	B5	Group2
ADNP_HLM_3	Adnp	HLM	Male	Mutant	Lithium	B5	Group2
ADNP_HLM_4	Adnp	HLM	Male	Mutant	Lithium	B5	Group2
ADNP_HLM_5	Adnp	HLM	Male	Mutant	Lithium	B5	Group2
ADNP_HvF_1	Adnp	HvF	Female	Mutant	Vehicle	B1	Group2
ADNP_HvF_2	Adnp	HvF	Female	Mutant	Vehicle	B1	Group2
ADNP_HvF_3	Adnp	HvF	Female	Mutant	Vehicle	B1	Group2
ADNP_HvF_4	Adnp	HvF	Female	Mutant	Vehicle	B1	Group2
ADNP_HvF_5	Adnp	HvF	Female	Mutant	Vehicle	B1	Group2
ADNP_HvF_6	Adnp	HvF	Female	Mutant	Vehicle	B5	Group2
ADNP_HvF_7	Adnp	HvF	Female	Mutant	Vehicle	B5	Group2
ADNP_HvF_8	Adnp	HvF	Female	Mutant	Vehicle	B5	Group2
ADNP_HvM_1	Adnp	HvM	Male	Mutant	Vehicle	B1	Group2
ADNP_HvM_2	Adnp	HvM	Male	Mutant	Vehicle	B1	Group2
ADNP_HvM_3	Adnp	HvM	Male	Mutant	Vehicle	B1	Group2
ADNP_HvM_4	Adnp	HvM	Male	Mutant	Vehicle	B1	Group2
ADNP_HvM_5	Adnp	HvM	Male	Mutant	Vehicle	B1	Group2
ADNP_HvM_6	Adnp	HvM	Male	Mutant	Vehicle	B5	Group2
ADNP_HvM_7	Adnp	HvM	Male	Mutant	Vehicle	B5	Group2
ADNP_HvM_8	Adnp	HvM	Male	Mutant	Vehicle	B5	Group2
ADNP_WfF_1	Adnp	WfF	Female	Wildtype	Fluoxetine	B1	Group2
ADNP_WfF_2	Adnp	WfF	Female	Wildtype	Fluoxetine	B1	Group2
ADNP_WfF_3	Adnp	WfF	Female	Wildtype	Fluoxetine	B1	Group2
ADNP_WfF_4	Adnp	WfF	Female	Wildtype	Fluoxetine	B1	Group2
